BATCHSENDER,BATCHRECEIVER,XID,BATCHDATE,MSG_CODE,MSG_LEVEL,MSG_NAME,DESCRIPTION,ORGCODE,REFPOSITIONID
НСИ,OSGMU,05e34e20-90ce-4fd4-a2fd-a95d41a50a34,17.09.2018 15:56:57,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,7367cca3-c836-4311-bb5e-783929c7b5a6,17.09.2018 15:57:23,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,7367cca3-c836-4311-bb5e-783929c7b5a6,17.09.2018 15:57:23,,,,,,
НСИ,OSGMU,6af12209-42e4-42c8-acfd-9415bcfc2f5a,17.09.2018 15:57:55,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,6af12209-42e4-42c8-acfd-9415bcfc2f5a,17.09.2018 15:57:55,,,,,,
НСИ,OSGMU,5c585e67-2b2b-4f33-8e49-52303b54a828,17.09.2018 16:00:03,,,,,,
НСИ,OSGMU,5c585e67-2b2b-4f33-8e49-52303b54a828,17.09.2018 16:00:03,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,593dc00e-fbb1-4b80-bf2a-ac17a2b82018,17.09.2018 16:00:35,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,593dc00e-fbb1-4b80-bf2a-ac17a2b82018,17.09.2018 16:00:35,,,,,,
НСИ,OSGMU,3802f2e3-e851-4ea8-ba1a-35106ca313dc,17.09.2018 16:01:06,,,,,,
НСИ,OSGMU,3802f2e3-e851-4ea8-ba1a-35106ca313dc,17.09.2018 16:01:06,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,860b41a3-4ee7-4408-b8b0-2742017d4ff9,17.09.2018 16:01:38,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,860b41a3-4ee7-4408-b8b0-2742017d4ff9,17.09.2018 16:01:38,,,,,,
НСИ,OSGMU,38a8d34c-00c6-475a-b1a2-0072c98f2115,17.09.2018 16:02:10,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,38a8d34c-00c6-475a-b1a2-0072c98f2115,17.09.2018 16:02:10,,,,,,
НСИ,OSGMU,468174fb-dc13-44ce-94fa-ec9ad89265cf,17.09.2018 16:02:45,XVE,критичная,Ошибка валидации по схеме,cvc-type.3.1.3: Значение '' элемента 'AuthBudgCode' недопустимо.,362D0376,cab84d88-573b-4b2d-ae27-2f9863158c06
